name,title,xpath,grid_name,parent_grid_name,type,widget,container,format,ignore_empty,ignore_autocalc_check,export_result,force_def_val,disabled,readonly,required,weight,allow_cyrillic,default_value,options,attributes,class,rows,minlength,maxlength,decimal_length,pattern,exclude_from_xml,extensions,max_size,tag
CAPITOL6_R620_C2,Capitol 6 Rind.620 nu,dec/DataSet/Data/CAPITOL6_R620_C2,,,text,checkbox,,,0,0,0,0,0,0,0,8,0,,,,,0,0,20,0,,0,,,
CAPITOL6_R630_C1,Capitol 6 Rind.630 da,dec/DataSet/Data/CAPITOL6_R630_C1,,,text,checkbox,,,0,0,0,0,0,0,0,7,0,,,,,0,0,20,0,,0,,,
CAPITOL6_R630_C2,Capitol 6 Rind.630 nu,dec/DataSet/Data/CAPITOL6_R630_C2,,,text,checkbox,,,0,0,0,0,0,0,0,8,0,,,,,0,0,20,0,,0,,,
CAPITOL6_R640_C1,Capitol 6 Rind.640 da,dec/DataSet/Data/CAPITOL6_R640_C1,,,text,checkbox,,,0,0,0,0,0,0,0,7,0,,,,,0,0,20,0,,0,,,
CAPITOL6_R640_C2,Capitol 6 Rind.640 nu,dec/DataSet/Data/CAPITOL6_R640_C2,,,text,checkbox,,,0,0,0,0,0,0,0,8,0,,,,,0,0,20,0,,0,,,
CAPITOL6_R650_C1,Capitol 6 Rind.650 da,dec/DataSet/Data/CAPITOL6_R650_C1,,,text,checkbox,,,0,0,0,0,0,0,0,7,0,,,,,0,0,20,0,,0,,,
CAPITOL6_R650_C2,Capitol 6 Rind.650 nu,dec/DataSet/Data/CAPITOL6_R650_C2,,,text,checkbox,,,0,0,0,0,0,0,0,8,0,,,,,0,0,20,0,,0,,,
CAPITOL6_R661_C1,Capitol 6 Rind.661 da,dec/DataSet/Data/CAPITOL6_R661_C1,,,text,checkbox,,,0,0,0,0,0,0,0,7,0,,,,,0,0,20,0,,0,,,
CAPITOL6_R661_C2,Capitol 6 Rind.661 nu,dec/DataSet/Data/CAPITOL6_R661_C2,,,text,checkbox,,,0,0,0,0,0,0,0,8,0,,,,,0,0,20,0,,0,,,
CAPITOL6_R662_C1,Capitol 6 Rind.662 da,dec/DataSet/Data/CAPITOL6_R662_C1,,,text,checkbox,,,0,0,0,0,0,0,0,7,0,,,,,0,0,20,0,,0,,,
CAPITOL6_R662_C2,Capitol 6 Rind.662 nu,dec/DataSet/Data/CAPITOL6_R662_C2,,,text,checkbox,,,0,0,0,0,0,0,0,8,0,,,,,0,0,20,0,,0,,,
CAPITOL6_R663_C1,Capitol 6 Rind.663 da,dec/DataSet/Data/CAPITOL6_R663_C1,,,text,checkbox,,,0,0,0,0,0,0,0,7,0,,,,,0,0,20,0,,0,,,
CAPITOL6_R663_C2,Capitol 6 Rind.663 nu,dec/DataSet/Data/CAPITOL6_R663_C2,,,text,checkbox,,,0,0,0,0,0,0,0,8,0,,,,,0,0,20,0,,0,,,
CAPITOL6_R664_C1,Capitol 6 Rind.664 da,dec/DataSet/Data/CAPITOL6_R664_C1,,,text,checkbox,,,0,0,0,0,0,0,0,7,0,,,,,0,0,20,0,,0,,,
CAPITOL6_R664_C2,Capitol 6 Rind.664 nu,dec/DataSet/Data/CAPITOL6_R664_C2,,,text,checkbox,,,0,0,0,0,0,0,0,8,0,,,,,0,0,20,0,,0,,,
CAPITOL6_R665_C1,Capitol 6 Rind.665 da,dec/DataSet/Data/CAPITOL6_R665_C1,,,text,checkbox,,,0,0,0,0,0,0,0,7,0,,,,,0,0,20,0,,0,,,
CAPITOL6_R665_C2,Capitol 6 Rind.665 nu,dec/DataSet/Data/CAPITOL6_R665_C2,,,text,checkbox,,,0,0,0,0,0,0,0,8,0,,,,,0,0,20,0,,0,,,
